inventory_id,record_type,screen,route,component,user_action,api_endpoint,method,server_action,service,ros_component,agent,llm_provider,db_model,external_provider,auth_required,rbac_required,tenant_check,idempotency,mock_present,error_handling,persistence,test_file,status,severity,evidence,file,line,notes
SCR-00001,screen,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,Screen render,,,,,,,,,,yes,yes,unknown,unknown,false,true,none/unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:1 — screen route /admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,1,Interactive handlers detected; action-level rows follow.
ACT-00002,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,undefined handler,,,,,,,,,,unknown,yes,unknown,unknown,false,true,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:95 — undefined handler,src/app/admin/agreements/builder/page.tsx,95,No nearby API call detected; verify whether UI-only is intentional.
ACT-00003,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:126 — onChange handler,src/app/admin/agreements/builder/page.tsx,126,No nearby API call detected; verify whether UI-only is intentional.
ACT-00004,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:143 — onChange handler,src/app/admin/agreements/builder/page.tsx,143,No nearby API call detected; verify whether UI-only is intentional.
ACT-00005,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:164 — onChange handler,src/app/admin/agreements/builder/page.tsx,164,No nearby API call detected; verify whether UI-only is intentional.
ACT-00006,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:172 — onChange handler,src/app/admin/agreements/builder/page.tsx,172,No nearby API call detected; verify whether UI-only is intentional.
ACT-00007,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:180 — onChange handler,src/app/admin/agreements/builder/page.tsx,180,No nearby API call detected; verify whether UI-only is intentional.
ACT-00008,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:188 — onChange handler,src/app/admin/agreements/builder/page.tsx,188,No nearby API call detected; verify whether UI-only is intentional.
ACT-00009,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:200 — onChange handler,src/app/admin/agreements/builder/page.tsx,200,No nearby API call detected; verify whether UI-only is intentional.
ACT-00010,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:208 — onChange handler,src/app/admin/agreements/builder/page.tsx,208,No nearby API call detected; verify whether UI-only is intentional.
ACT-00011,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:221 — onChange handler,src/app/admin/agreements/builder/page.tsx,221,No nearby API call detected; verify whether UI-only is intentional.
ACT-00012,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:235 — onChange handler,src/app/admin/agreements/builder/page.tsx,235,No nearby API call detected; verify whether UI-only is intentional.
ACT-00013,user_action,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,onClick handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:245 — onClick handler,src/app/admin/agreements/builder/page.tsx,245,No nearby API call detected; verify whether UI-only is intentional.
CALL-00014,frontend_api_call,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,fetch GET /api/agreements/requirements,/api/agreements/requirements,GET,,,,,,,,unknown,yes,unknown,unknown,false,true,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:31 — frontend call GET /api/agreements/requirements,src/app/admin/agreements/builder/page.tsx,31,Must reconcile against an API endpoint row.
CALL-00015,frontend_api_call,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,fetch GET /api/agreements/templates,/api/agreements/templates,GET,,,,,,,,unknown,yes,unknown,unknown,false,true,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:32 — frontend call GET /api/agreements/templates,src/app/admin/agreements/builder/page.tsx,32,Must reconcile against an API endpoint row.
CALL-00016,frontend_api_call,/admin/agreements/builder,/admin/agreements/builder,src/app/admin/agreements/builder/page.tsx,fetch POST /api/agreements/contracts,/api/agreements/contracts,POST,,,,,,,,unknown,yes,unknown,unknown,false,true,unknown,,GREEN,LOW,src/app/admin/agreements/builder/page.tsx:86 — frontend call POST /api/agreements/contracts,src/app/admin/agreements/builder/page.tsx,86,Must reconcile against an API endpoint row.
SCR-00017,screen,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,Screen render,,,,,,,,,,yes,yes,unknown,unknown,false,true,none/unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:1 — screen route /admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,1,Interactive handlers detected; action-level rows follow.
ACT-00018,user_action,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,onClick handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:62 — onClick handler,src/app/admin/agreements/templates/page.tsx,62,No nearby API call detected; verify whether UI-only is intentional.
ACT-00019,user_action,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,onClick handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:123 — onClick handler,src/app/admin/agreements/templates/page.tsx,123,No nearby API call detected; verify whether UI-only is intentional.
ACT-00020,user_action,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:144 — onChange handler,src/app/admin/agreements/templates/page.tsx,144,No nearby API call detected; verify whether UI-only is intentional.
ACT-00021,user_action,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:154 — onChange handler,src/app/admin/agreements/templates/page.tsx,154,No nearby API call detected; verify whether UI-only is intentional.
ACT-00022,user_action,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:166 — onChange handler,src/app/admin/agreements/templates/page.tsx,166,No nearby API call detected; verify whether UI-only is intentional.
ACT-00023,user_action,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:175 — onChange handler,src/app/admin/agreements/templates/page.tsx,175,No nearby API call detected; verify whether UI-only is intentional.
ACT-00024,user_action,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,onChange handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:184 — onChange handler,src/app/admin/agreements/templates/page.tsx,184,No nearby API call detected; verify whether UI-only is intentional.
ACT-00025,user_action,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,onClick handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:191 — onClick handler,src/app/admin/agreements/templates/page.tsx,191,No nearby API call detected; verify whether UI-only is intentional.
ACT-00026,user_action,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,onClick handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:194 — onClick handler,src/app/admin/agreements/templates/page.tsx,194,No nearby API call detected; verify whether UI-only is intentional.
CALL-00027,frontend_api_call,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,fetch POST /api/agreements/templates,/api/agreements/templates,POST,,,,,,,,unknown,yes,unknown,unknown,false,true,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:15 — frontend call POST /api/agreements/templates,src/app/admin/agreements/templates/page.tsx,15,Must reconcile against an API endpoint row.
CALL-00028,frontend_api_call,/admin/agreements/templates,/admin/agreements/templates,src/app/admin/agreements/templates/page.tsx,fetch POST /api/agreements/templates,/api/agreements/templates,POST,,,,,,,,unknown,yes,unknown,unknown,false,true,unknown,,GREEN,LOW,src/app/admin/agreements/templates/page.tsx:29 — frontend call POST /api/agreements/templates,src/app/admin/agreements/templates/page.tsx,29,Must reconcile against an API endpoint row.
SCR-00029,screen,/admin/ai-command-centre-dashboard,/admin/ai-command-centre-dashboard,src/app/admin/ai-command-centre-dashboard/page.tsx,Screen render,,,,,,,Google Gemini | External asset host,,Google Gemini | External asset host,yes,yes,unknown,unknown,false,false,none/unknown,,GREEN,LOW,src/app/admin/ai-command-centre-dashboard/page.tsx:1 — screen route /admin/ai-command-centre-dashboard,src/app/admin/ai-command-centre-dashboard/page.tsx,1,No interactive handler detected by static scan.
SCR-00030,screen,/admin/dashboard,/admin/dashboard,src/app/admin/dashboard/page.tsx,Screen render,,,,,,,,,,yes,yes,unknown,unknown,false,false,none/unknown,,GREEN,LOW,src/app/admin/dashboard/page.tsx:1 — screen route /admin/dashboard,src/app/admin/dashboard/page.tsx,1,No interactive handler detected by static scan.
SCR-00031,screen,/admin/document-verification,/admin/document-verification,src/app/admin/document-verification/page.tsx,Screen render,,,,,,,,,,yes,yes,unknown,unknown,false,true,none/unknown,,GREEN,LOW,src/app/admin/document-verification/page.tsx:1 — screen route /admin/document-verification,src/app/admin/document-verification/page.tsx,1,Interactive handlers detected; action-level rows follow.
ACT-00032,user_action,/admin/document-verification,/admin/document-verification,src/app/admin/document-verification/page.tsx,onClick handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/document-verification/page.tsx:86 — onClick handler,src/app/admin/document-verification/page.tsx,86,No nearby API call detected; verify whether UI-only is intentional.
ACT-00033,user_action,/admin/document-verification,/admin/document-verification,src/app/admin/document-verification/page.tsx,onClick handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/document-verification/page.tsx:138 — onClick handler,src/app/admin/document-verification/page.tsx,138,No nearby API call detected; verify whether UI-only is intentional.
ACT-00034,user_action,/admin/document-verification,/admin/document-verification,src/app/admin/document-verification/page.tsx,onClick handler,,,,,,,,,,unknown,yes,unknown,unknown,false,false,unknown,,GREEN,LOW,src/app/admin/document-verification/page.tsx:141 — onClick handler,src/app/admin/document-verification/page.tsx,141,No nearby API call detected; verify whether UI-only is intentional.
CALL-00035,frontend_api_call,/admin/document-verification,/admin/document-verification,src/app/admin/document-verification/page.tsx,fetch GET /api/admin/document-verification?status=${filter},/api/admin/document-verification?status=${filter},GET,,,,,,,,unknown,yes,unknown,unknown,false,true,unknown,,GREEN,LOW,src/app/admin/document-verification/page.tsx:25 — frontend call GET /api/admin/document-verification?status=${filter},src/app/admin/document-verification/page.tsx,25,Must reconcile against an API endpoint row.
CALL-00036,frontend_api_call,/admin/document-verification,/admin/document-verification,src/app/admin/document-verification/page.tsx,fetch POST /api/admin/document-verification/${id},/api/admin/document-verification/${id},POST,,,,,,,,unknown,yes,unknown,unknown,false,true,unknown,,GREEN,LOW,src/app/admin/document-verification/page.tsx:43 — frontend call POST /api/admin/document-verification/${id},src/app/admin/document-verification/page.tsx,43,Must reconcile against an API endpoint row.
